id,device,timestamp,HIGH_ACTIVITY_INTERVALS,LOW_ACTIVITY_INTERVALS,TOTAL_INTERVALS
6d950c45-4fe3-4201-a670-a6ba9706c3c2-15,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336651032,6,1,15
6d950c45-4fe3-4201-a670-a6ba9706c3c2-19,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336651152,10,3,15
6d950c45-4fe3-4201-a670-a6ba9706c3c2-22,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336651272,1,1,15
6d950c45-4fe3-4201-a670-a6ba9706c3c2-26,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336651406,0,0,1
6d950c45-4fe3-4201-a670-a6ba9706c3c2-28,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336651512,0,8,15
6d950c45-4fe3-4201-a670-a6ba9706c3c2-32,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336651632,14,0,15
6d950c45-4fe3-4201-a670-a6ba9706c3c2-36,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336651752,14,0,15
6d950c45-4fe3-4201-a670-a6ba9706c3c2-39,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336651872,14,0,15
6d950c45-4fe3-4201-a670-a6ba9706c3c2-43,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336651992,14,0,15
6d950c45-4fe3-4201-a670-a6ba9706c3c2-45,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336652115,3,4,12
6d950c45-4fe3-4201-a670-a6ba9706c3c2-49,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336652232,1,1,15
6d950c45-4fe3-4201-a670-a6ba9706c3c2-53,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336652352,0,0,15
6d950c45-4fe3-4201-a670-a6ba9706c3c2-56,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336652472,3,0,15
4ed49e3d-4bfc-4996-b535-f506b105642c-5,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336652592,7,1,15
e8e7aef8-95a9-4fdf-b036-a727e57a6a7d-4,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336652712,10,1,15
e8e7aef8-95a9-4fdf-b036-a727e57a6a7d-7,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336652832,14,0,15
e8e7aef8-95a9-4fdf-b036-a727e57a6a7d-11,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336652952,14,0,15
e8e7aef8-95a9-4fdf-b036-a727e57a6a7d-14,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336653072,14,0,15
e8e7aef8-95a9-4fdf-b036-a727e57a6a7d-19,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336653201,5,0,6
e8e7aef8-95a9-4fdf-b036-a727e57a6a7d-21,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336653312,6,3,15
e8e7aef8-95a9-4fdf-b036-a727e57a6a7d-24,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336653432,10,0,15
e8e7aef8-95a9-4fdf-b036-a727e57a6a7d-28,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336653552,4,0,15
e8e7aef8-95a9-4fdf-b036-a727e57a6a7d-31,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336653672,5,0,15
e8e7aef8-95a9-4fdf-b036-a727e57a6a7d-35,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336653792,14,0,15
e8e7aef8-95a9-4fdf-b036-a727e57a6a7d-37,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336653925,1,0,2
e8e7aef8-95a9-4fdf-b036-a727e57a6a7d-41,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336654032,12,0,15
0abb44fb-9cc9-48c9-83f4-76e26180368d-4,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336656312,14,0,15
0abb44fb-9cc9-48c9-83f4-76e26180368d-8,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336656432,6,6,15
0abb44fb-9cc9-48c9-83f4-76e26180368d-11,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336656552,8,2,15
0abb44fb-9cc9-48c9-83f4-76e26180368d-14,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336656685,0,0,2
0abb44fb-9cc9-48c9-83f4-76e26180368d-18,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336656792,0,0,15
0abb44fb-9cc9-48c9-83f4-76e26180368d-21,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336656912,10,2,15
0abb44fb-9cc9-48c9-83f4-76e26180368d-25,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336657032,7,3,15
0abb44fb-9cc9-48c9-83f4-76e26180368d-28,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336657152,14,0,15
0abb44fb-9cc9-48c9-83f4-76e26180368d-31,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336657272,5,0,15
0abb44fb-9cc9-48c9-83f4-76e26180368d-35,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336657392,0,0,15
0abb44fb-9cc9-48c9-83f4-76e26180368d-38,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336657512,0,0,15
0abb44fb-9cc9-48c9-83f4-76e26180368d-41,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336657632,0,0,15
06db359c-8379-4be8-bf09-db5e98b358b7-2,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336654152,6,5,15
06db359c-8379-4be8-bf09-db5e98b358b7-5,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336654272,5,6,15
06db359c-8379-4be8-bf09-db5e98b358b7-9,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336654392,0,0,15
06db359c-8379-4be8-bf09-db5e98b358b7-11,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336654512,2,1,15
06db359c-8379-4be8-bf09-db5e98b358b7-14,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336654632,1,3,15
06db359c-8379-4be8-bf09-db5e98b358b7-18,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336654752,0,0,15
06db359c-8379-4be8-bf09-db5e98b358b7-22,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336654872,3,0,15
06db359c-8379-4be8-bf09-db5e98b358b7-26,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336654992,8,2,15
06db359c-8379-4be8-bf09-db5e98b358b7-28,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336655112,0,0,15
06db359c-8379-4be8-bf09-db5e98b358b7-31,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336655232,0,0,15
06db359c-8379-4be8-bf09-db5e98b358b7-35,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336655352,0,0,15
